run-id,episode,total_reward,avg_reward,avg_waiting_time,epsilon,lr,gamma
policy_v2_explored,204,-56.9599,-2.3733,2.3733,0.0898,0.05,0.99
policy_v2_explored,205,-56.9599,-2.3733,2.3733,0.08975,0.05,0.99
policy_v2_explored,206,-46.1315,-1.9221,1.9221,0.0897,0.05,0.99
policy_v2_explored,207,-155.9952,-6.4998,6.4998,0.08965,0.05,0.99
policy_v2_explored,208,-145.1363,-6.0473,6.0473,0.0896,0.05,0.99
policy_v2_explored,209,-44.9599,-1.8733,1.8733,0.08955,0.05,0.99
policy_v2_explored,210,-88.1363,-3.6723,3.6723,0.0895,0.05,0.99
policy_v2_explored,211,-55.1363,-2.2973,2.2973,0.08945,0.05,0.99
policy_v2_explored,212,-155.1363,-6.464,6.464,0.0894,0.05,0.99
policy_v2_explored,213,-54.9599,-2.29,2.29,0.08935,0.05,0.99
policy_v2_explored,214,-55.9599,-2.3317,2.3317,0.0893,0.05,0.99
policy_v2_explored,215,-55.9599,-2.3317,2.3317,0.08925,0.05,0.99
policy_v2_explored,216,-251.6087,-10.4837,10.4837,0.0892,0.05,0.99
policy_v2_explored,217,-64.9599,-2.7067,2.7067,0.08915,0.05,0.99
policy_v2_explored,218,-44.9599,-1.8733,1.8733,0.0891,0.05,0.99
policy_v2_explored,219,-45.1363,-1.8807,1.8807,0.08905,0.05,0.99
policy_v2_explored,220,-162.122,-6.7551,6.7551,0.089,0.05,0.99
policy_v2_explored,221,-164.9599,-6.8733,6.8733,0.08895,0.05,0.99
policy_v2_explored,222,-76.9599,-3.2067,3.2067,0.0889,0.05,0.99
policy_v2_explored,223,-78.9599,-3.29,3.29,0.08885,0.05,0.99
policy_v2_explored,224,-331.9599,-13.8317,13.8317,0.0888,0.05,0.99
policy_v2_explored,225,-168.9952,-7.0415,7.0415,0.08875,0.05,0.99
policy_v2_explored,226,-56.9599,-2.3733,2.3733,0.0887,0.05,0.99
policy_v2_explored,227,-350.1363,-14.589,14.589,0.08865,0.05,0.99
policy_v2_explored,228,-56.9599,-2.3733,2.3733,0.0886,0.05,0.99
policy_v2_explored,229,-84.9599,-3.54,3.54,0.08855,0.05,0.99
policy_v2_explored,230,-250.4724,-10.4363,10.4363,0.0885,0.05,0.99
policy_v2_explored,231,-273.6087,-11.4004,11.4004,0.08845,0.05,0.99
policy_v2_explored,232,-360.9599,-15.04,15.04,0.0884,0.05,0.99
policy_v2_explored,233,-163.9599,-6.8317,6.8317,0.08835,0.05,0.99
policy_v2_explored,234,-56.1363,-2.339,2.339,0.0883,0.05,0.99
policy_v2_explored,235,-66.1363,-2.7557,2.7557,0.08825,0.05,0.99
policy_v2_explored,236,-74.9599,-3.1233,3.1233,0.0882,0.05,0.99
policy_v2_explored,237,-167.1363,-6.964,6.964,0.08815,0.05,0.99
policy_v2_explored,238,-56.9599,-2.3733,2.3733,0.0881,0.05,0.99
policy_v2_explored,239,-75.9599,-3.165,3.165,0.08805,0.05,0.99
policy_v2_explored,240,-94.9599,-3.9567,3.9567,0.088,0.05,0.99
policy_v2_explored,241,-54.9599,-2.29,2.29,0.08795,0.05,0.99
policy_v2_explored,242,-175.9599,-7.3317,7.3317,0.0879,0.05,0.99
policy_v2_explored,243,-55.1363,-2.2973,2.2973,0.08785,0.05,0.99
policy_v2_explored,244,-56.9599,-2.3733,2.3733,0.0878,0.05,0.99
policy_v2_explored,245,-341.7883,-14.2412,14.2412,0.08775,0.05,0.99
policy_v2_explored,246,-66.9599,-2.79,2.79,0.0877,0.05,0.99
policy_v2_explored,247,-354.6462,-14.7769,14.7769,0.08765,0.05,0.99
policy_v2_explored,248,-54.9599,-2.29,2.29,0.0876,0.05,0.99
policy_v2_explored,249,-154.1315,-6.4221,6.4221,0.08755,0.05,0.99
policy_v2_explored,250,-175.9599,-7.3317,7.3317,0.0875,0.05,0.99
policy_v2_explored,251,-35.3079,-1.4712,1.4712,0.08745,0.05,0.99
policy_v2_explored,252,-160.101,-6.6709,6.6709,0.0874,0.05,0.99
policy_v2_explored,253,-48.101,-2.0042,2.0042,0.08735,0.05,0.99
policy_v2_explored,254,-46.9599,-1.9567,1.9567,0.0873,0.05,0.99
policy_v2_explored,255,-44.9599,-1.8733,1.8733,0.08725,0.05,0.99
policy_v2_explored,256,-78.9599,-3.29,3.29,0.0872,0.05,0.99
policy_v2_explored,257,-76.9599,-3.2067,3.2067,0.08715,0.05,0.99
policy_v2_explored,258,-295.7883,-12.3245,12.3245,0.0871,0.05,0.99
policy_v2_explored,259,-45.9599,-1.915,1.915,0.08705,0.05,0.99
policy_v2_explored,260,-56.9599,-2.3733,2.3733,0.087,0.05,0.99
policy_v2_explored,261,-37.9599,-1.5817,1.5817,0.08695,0.05,0.99
policy_v2_explored,262,-67.9599,-2.8317,2.8317,0.0869,0.05,0.99
policy_v2_explored,263,-154.9599,-6.4567,6.4567,0.08685,0.05,0.99
policy_v2_explored,264,-63.9456,-2.6644,2.6644,0.0868,0.05,0.99
policy_v2_explored,265,-56.9599,-2.3733,2.3733,0.08675,0.05,0.99
policy_v2_explored,266,-36.9599,-1.54,1.54,0.0867,0.05,0.99
policy_v2_explored,267,-263.6087,-10.9837,10.9837,0.08665,0.05,0.99
policy_v2_explored,268,-56.9599,-2.3733,2.3733,0.0866,0.05,0.99
policy_v2_explored,269,-54.9599,-2.29,2.29,0.08655,0.05,0.99
policy_v2_explored,270,-84.9599,-3.54,3.54,0.0865,0.05,0.99
policy_v2_explored,271,-52.1363,-2.1723,2.1723,0.08645,0.05,0.99
policy_v2_explored,272,-55.1363,-2.2973,2.2973,0.0864,0.05,0.99
