run-id,episode,total_reward,avg_reward,avg_waiting_time,epsilon,lr,gamma
policy_v1,314,-345.1716,-14.3821,14.3821,0.2058,0.1,0.95
policy_v1,315,-629.9599,-26.2483,26.2483,0.2055,0.1,0.95
policy_v1,316,-258.4676,-10.7695,10.7695,0.2052,0.1,0.95
policy_v1,317,-626.9599,-26.1233,26.1233,0.2049,0.1,0.95
policy_v1,318,-244.1363,-10.1723,10.1723,0.2046,0.1,0.95
policy_v1,319,-56.9599,-2.3733,2.3733,0.2043,0.1,0.95
policy_v1,320,-39.1315,-1.6305,1.6305,0.204,0.1,0.95
policy_v1,321,-48.9599,-2.04,2.04,0.2037,0.1,0.95
policy_v1,322,-46.9599,-1.9567,1.9567,0.2034,0.1,0.95
policy_v1,323,-56.9599,-2.3733,2.3733,0.2031,0.1,0.95
policy_v1,324,-167.9599,-6.9983,6.9983,0.2028,0.1,0.95
policy_v1,325,-146.1315,-6.0888,6.0888,0.2025,0.1,0.95
policy_v1,326,-271.4676,-11.3111,11.3111,0.2022,0.1,0.95
policy_v1,327,-67.9599,-2.8317,2.8317,0.2019,0.1,0.95
policy_v1,328,-50.6462,-2.1103,2.1103,0.2016,0.1,0.95
policy_v1,329,-243.6087,-10.1504,10.1504,0.2013,0.1,0.95
policy_v1,330,-63.8188,-2.6591,2.6591,0.201,0.1,0.95
policy_v1,331,-155.9599,-6.4983,6.4983,0.2007,0.1,0.95
policy_v1,332,-56.9599,-2.3733,2.3733,0.2004,0.1,0.95
policy_v1,333,-48.9599,-2.04,2.04,0.2001,0.1,0.95
policy_v1,334,-27.101,-1.1292,1.1292,0.1998,0.1,0.95
policy_v1,335,-156.1363,-6.5057,6.5057,0.1995,0.1,0.95
policy_v1,336,-78.9599,-3.29,3.29,0.1992,0.1,0.95
policy_v1,337,-148.101,-6.1709,6.1709,0.1989,0.1,0.95
policy_v1,338,-354.6462,-14.7769,14.7769,0.1986,0.1,0.95
policy_v1,339,-169.7883,-7.0745,7.0745,0.1983,0.1,0.95
policy_v1,340,-477.9456,-19.9144,19.9144,0.198,0.1,0.95
policy_v1,341,-38.9599,-1.6233,1.6233,0.1977,0.1,0.95
policy_v1,342,-154.9599,-6.4567,6.4567,0.1974,0.1,0.95
policy_v1,343,-517.6087,-21.567,21.567,0.1971,0.1,0.95
policy_v1,344,-39.3079,-1.6378,1.6378,0.1968,0.1,0.95
policy_v1,345,-46.9599,-1.9567,1.9567,0.1965,0.1,0.95
policy_v1,346,-38.9599,-1.6233,1.6233,0.1962,0.1,0.95
policy_v1,347,-343.9599,-14.3317,14.3317,0.1959,0.1,0.95
policy_v1,348,-57.9599,-2.415,2.415,0.1956,0.1,0.95
policy_v1,349,-148.6462,-6.1936,6.1936,0.1953,0.1,0.95
policy_v1,350,-68.9599,-2.8733,2.8733,0.195,0.1,0.95
policy_v1,351,-56.9599,-2.3733,2.3733,0.1947,0.1,0.95
policy_v1,352,-139.1363,-5.7973,5.7973,0.1944,0.1,0.95
policy_v1,353,-426.1363,-17.7557,17.7557,0.1941,0.1,0.95
policy_v1,354,-139.9599,-5.8317,5.8317,0.1938,0.1,0.95
policy_v1,355,-140.6462,-5.8603,5.8603,0.1935,0.1,0.95
policy_v1,356,-51.9599,-2.165,2.165,0.1932,0.1,0.95
policy_v1,357,-141.1363,-5.8807,5.8807,0.1929,0.1,0.95
policy_v1,358,-40.9599,-1.7067,1.7067,0.1926,0.1,0.95
policy_v1,359,-352.1363,-14.6723,14.6723,0.1923,0.1,0.95
